# Completeness in stellar mass as a function of redshift
# SFH=exp. declining SFR; IMF=pseudo-kroupa; Z=Zsun=m62; dust=Calzetti, BC03
# Completeness estimated empirically using deeper samples (FIRES, FIREWORKS)
# z   lgM
    3.543544   10.991006
    3.547347   10.991006
    3.551151   10.991006
    3.554955   10.991006
    3.558759   10.991006
    3.562563   10.991006
    3.566366   10.991006
    3.570170   10.991006
    3.573974   10.991006
    3.577778   10.991006
    3.581582   10.991006
    3.585385   10.991006
    3.589189   10.991006
    3.592993   10.991006
    3.596797   10.991006
    3.600601   10.991006
    3.604404   10.991006
    3.608208   10.991006
    3.612012   10.991006
    3.615816   10.991006
    3.619620   10.991006
    3.623423   10.991006
    3.627227   10.991006
    3.631031   10.991006
    3.634835   10.991006
    3.638639   10.991006
    3.642442   10.991006
    3.646246   10.991006
    3.650050   10.991006
    3.653854   10.991006
    3.657658   10.991006
    3.661461   10.991006
    3.665265   10.991006
    3.669069   10.991006
    3.672873   10.991006
    3.676677   10.991006
    3.680480   10.991006
    3.684284   10.991006
    3.688088   10.991006
    3.691892   10.991006
    3.695696   10.991006
    3.699499   10.991006
    3.703303   10.991006
    3.707107   10.991006
    3.710911   10.991006
    3.714715   10.991006
    3.718518   10.991006
    3.722322   10.991006
    3.726126   10.991006
    3.729930   10.991006
    3.733734   10.991006
    3.737537   10.991006
    3.741341   10.991006
    3.745145   10.991006
    3.748949   10.991006
    3.752753   10.991006
    3.756556   10.991006
    3.760360   10.991006
    3.764164   10.991006
    3.767968   10.991006
    3.771772   10.991006
    3.775575   10.991006
    3.779379   10.991006
    3.783183   10.991006
    3.786987   10.991006
    3.790791   10.991006
    3.794594   10.991006
    3.798398   10.991006
    3.802202   10.991006
    3.806006   10.991006
    3.809810   10.991006
    3.813614   10.991006
    3.817418   10.991006
    3.821221   10.991006
    3.825025   10.991006
    3.828829   10.991006
    3.832633   10.991006
    3.836437   10.991006
    3.840240   10.991006
    3.844044   10.991006
    3.847848   10.991006
    3.851652   10.991006
    3.855456   10.991006
    3.859259   10.991006
    3.863063   10.991006
    3.866867   10.991006
    3.870671   10.991006
    3.874475   10.991006
    3.878278   10.991006
    3.882082   10.991006
    3.885886   10.991006
    3.889690   10.991006
    3.893494   10.991006
    3.897297   10.991006
    3.901101   10.991006
    3.904905   10.991006
    3.908709   10.991006
    3.912513   10.991006
    3.916316   10.991006
    3.920120   10.991006
    3.923924   10.991006
    3.927728   10.991006
    3.931532   10.991006
    3.935335   10.991006
    3.939139   10.991006
    3.942943   10.991006
    3.946747   10.991006
    3.950551   10.991006
    3.954354   10.991006
    3.958158   10.991006
    3.961962   10.991006
    3.965766   10.991006
    3.969570   10.991006
    3.973373   10.991006
    3.977177   10.991006
    3.980981   10.991006
    3.984785   10.991006
    3.988589   10.991006
    3.992392   10.991006
    3.996196   10.991006
    4.000000   10.991006
